fid,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,x,y
1,0.0202,0.0001,0.0019,0.8252,0.079,0.0736,0,0,0,4,0.619377163,0.317474048,0.057958478,0.005190311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205036952,4.9360776,3,0.190907095,2.016027825,0.009860518,0.194521137,0.000636723,0.000680528,0.001249422,0,9.431578948,2.285714286,7.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.8200664,33.08522327
2,0.0083,0.0004,0.002,0.9776,0.0078,0.0009,0,0,0.003,0,0.937716263,0.032871972,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180302294,1.4209876,0,0.196692159,0.831869196,0.035856431,0.205278067,0.001131009,0.00093274,0.001318589,0,6.442622951,2.076923077,3.935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.8200664,33.05522327
3,0.015,0.0001,0.0028,0.6456,0.123,0.0773,0.1334,0,0.003,1,0.461344538,0.339495798,0.08487395,0,0.114285714,0,0,0,0,0,0,0,0,0,0,0,0,1.105242509,0,5,0,1.503280863,0.009860518,0.276990928,0.000656773,0.0087385,0.001183924,0.000254082,14.12195122,1.714285714,8.111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.8200664,33.02522327
4,0.0032,0,0,0.325,0.0076,0.0204,0.6195,0.0213,0.003,0,0.329584775,0.025086505,0.029411765,0,0.615916955,0,0,0,0,0,0,0,0,0,0,0,0,0.446583908,0,0,0,0.324500699,0,0.004482054,0.000867289,0,0.013848605,0.000399597,5.666666667,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.8200664,32.99522327
5,0.012,0.0002,0.0016,0.4544,0.0012,0.0285,0.4154,0.0836,0.003,0,0.470588235,0.038062284,0.057958478,0,0.433391003,0,0,0,0,0,0,0,0,0,0,0,0,0.455297072,0,0,0,1.207465309,0.02330668,0.160457528,0.000873217,0.003056208,0.000770911,0.000472076,7.513513514,2.454545455,5.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.8200664,32.96522327
6,0.0119,0,0.0035,0.8091,0.0052,0.0361,0.0367,0.0945,0.003,0,0.788235294,0.037815126,0.08487395,0,0.08907563,0,0,0,0,0,0,0,0,0,0,0,0,0.067914164,0,0,0,1.190433504,0.004482054,0.353185844,0.000831935,0.009367897,0.000836874,0.004126122,8.767123289,2,9.100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.8200664,32.93522327
7,0.0233,0.0001,0.0017,0.8309,0.0752,0.0592,0.0048,0.0018,0.003,5,0.748269896,0.21366782,0.029411765,0,0.008650519,0,0,0,0,0,0,0,0,0,0,0,0,0.554886908,2.9322245,3,0.191337719,2.340528524,0.008964108,0.167628814,0.000693801,0.000319107,0.00122068,0,10.58252427,1.714285715,7.607142858,2,4.681057048,0.017928216,0.335257628,0.001387602,0.001387602,0.00244136,21.16504854,3.42857143,15.21428572,0,0,0,0,0,0,0,0,0,0,117.8200664,32.90522327
8,0.0335,0,0.0052,0.8543,0.0572,0.0443,0.0023,0.0002,0.003,6,0.789915966,0.125210084,0.08487395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892197205,0,8,0,3.359747571,0.003585643,0.520814658,0.000538642,0.008760162,0.000624415,0.006737563,16.29268293,1.75,15.42857143,1,3.359747571,0.003585643,0.520814658,0.000538642,0.000538642,0.000624415,16.29268293,1.75,15.42857143,0,0,0,0,0,0,0,0,0,0,117.8200664,32.87522327
9,0.069,0.0001,0.0027,0.7676,0.0955,0.0564,0.0025,0.0032,0.003,18,0.62283737,0.346020761,0.029411765,0,0.001730104,0,0,0,0,0,0,0,0,0,0,0,0,0.826133838,0,35,0,6.920291154,0.007171286,0.26713041,0.000480913,0.010018537,0.001324506,0.010009667,16.10795455,1.833333333,8.885714287,1,6.920291154,0.007171286,0.26713041,0.000480913,0.000480913,0.001324506,16.10795455,1.833333333,8.885714287,0,0,0,0,0,0,0,0,0,0,117.8200664,32.84522327
10,0.0299,0,0.0039,0.9332,0.0117,0.0145,0.0037,0,0.003,0,0.862456747,0.078719723,0.057958478,0,0.000865052,0,0,0,0,0,0,0,0,0,0,0,0,0.475656881,0.79403496,0,0.185710139,3.001183262,0.000896411,0.394420739,0.000573961,0,0.000676105,0.008600963,12.05172414,1,8.809523811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.8200664,32.81522327
